drug_name;generic_name;category;sub_category;typical_posology
Salmétérol;Salmétérol;Respiratoire;LABA;50 μg twice daily (inhaler)
Budesonide (inhalé);Budesonide;Respiratoire;Corticostéroïde inhalé;Once or twice daily per inhaler instructions
Tiotropium;Tiotropium;Respiratoire;Anticholinergique inhalé;Once daily (18 μg dry powder)
Sertraline;Sertraline;Antidépresseur;SSRI;50-200 mg once daily
Escitalopram;Escitalopram;Antidépresseur;SSRI;10-20 mg once daily
Fluoxetine;Fluoxetine;Antidépresseur;SSRI;20-40 mg once daily
Paroxétine;Paroxétine;Antidépresseur;SSRI;20-40 mg once daily
Amitriptyline;Amitriptyline;Antidépresseur;Tricyclique;25-150 mg at night or divided
Valproate de sodium;Valproate;Neurologie;Antiépileptique;500-2000 mg/day divided
Lamotrigine;Lamotrigine;Neurologie;Antiépileptique;100-400 mg/day
Carbamazépine;Carbamazépine;Neurologie;Antiépileptique;400-1200 mg/day divided
Levetiracetam;Levetiracetam;Neurologie;Antiépileptique;500-3000 mg/day divided
Isotrétinoïne;Isotrétinoïne;Dermatologie;Acné / rétinoïde;0.5-1 mg/kg/day
Métronidazole topical;Métronidazole;Dermatologie;Topical antibiotic;Apply as directed
Levothyrox;Levothyroxine;Endocrinologie;Thyroïde;50-200 μg once daily
Thyroxine (générique);Levothyroxine;Endocrinologie;Thyroïde;Individualized
Prednisone;Prednisone;Endocrinologie;Corticosteroid systemic;5-60 mg/day depending on indication
Spiramycin;Spiramycin;Antibiotique;Macrolide;Dose per specialty (e.g., 3 MIU/day)
Fosfomycine;Fosfomycine;Antibiotique;Urinary;3 g single dose for uncomplicated UTI
Nitrofurantoïne;Nitrofurantoïne;Antibiotique;Urinary;50-100 mg twice daily
Triméthoprime/Sulfaméthoxazole;Cotrimoxazole;Antibiotique;Combo;160/800 mg twice daily
Mupirocine;Mupirocine;Dermatologie;Topical antibiotic;Apply topically 2-3 times daily
Benzoyl peroxide;Peroxyde de benzoyle;Dermatologie;Topical acne;Apply once daily or as tolerated
Clarithromycine;Clarithromycine;Antibiotique;Macrolide;250-500 mg twice daily
Fusidic acid (topical);Acide fusidique;Dermatologie;Topical antibiotic;Apply as directed
Éthinylestradiol/Levonorgestrel;Contraceptif combiné;Gynécologie;Contraception orale;One tablet daily in cycle
Implant contraceptif (etonogestrel);Etonogestrel implant;Gynécologie;Contraception;Single implant, effective for years
Levonorgestrel (stérilet);Levonorgestrel IUD;Gynécologie;Contraception intra-utérine;Release over years
Vaccin grippe;Vaccin grippe;Vaccin;Vaccination;As per schedule
Vaccin pneumocoque;Vaccin pneumocoque;Vaccin;Vaccination;As per schedule
Vaccin HPV;Vaccin HPV;Vaccin;Vaccination;As per schedule
Vaccin hépatite B;Vaccin hépatite B;Vaccin;Vaccination;As per schedule
Vaccin Tétanos-diphtérie-coqueluche;Vaccin Tétanos-diphtérie-coqueluche;Vaccin;Vaccination;As per schedule
Hydrocortisone topical;Hydrocortisone;Dermatologie;Topical corticosteroid;Apply 1-2 times daily
Betamethasone cream;Betamethasone;Dermatologie;Topical corticosteroid;Apply as directed
Tamsulosine;Tamsulosine;Urologie;Alpha-blocker;0.4 mg once daily
Finasteride;Finasteride;Urologie;5-ARI;5 mg once daily
Loratadine;Loratadine;Allergologie;Antihistaminique;10 mg once daily
Cetirizine;Cetirizine;Allergologie;Antihistaminique;10 mg once daily
Onguent ophtalmique (tobramycine);Tobramycine;Ophtalmologie;Antibiotic eye;Apply as directed
Methotrexate;Methotrexate;Immunosuppresseur/Oncologie;Antimetabolite;7.5-25 mg once weekly (varies)
Azathioprine;Azathioprine;Immunosuppresseur;Antimetabolite;1-3 mg/kg/day
 ciclosporine;Cyclosporine;Immunosuppresseur;Calcineurin inhibitor;Dose individualized
Spironolactone;Spironolactone;Cardiovasculaire;Aldosterone antagonist;25-100 mg once daily
Eplerenone;Eplerenone;Cardiovasculaire;Aldosterone antagonist;25-50 mg once daily
Clonidine;Clonidine;Cardiovasculaire;α2 agonist;0.1-0.3 mg twice daily
Moxonidine;Moxonidine;Cardiovasculaire;Antihypertensive;0.2-0.4 mg once daily
Atenolol;Atenolol;Cardiovasculaire;Bêta-bloquant;25-100 mg once daily
Nebivolol;Nebivolol;Cardiovasculaire;Bêta-bloquant;5-10 mg once daily
Diltiazem;Diltiazem;Cardiovasculaire;Calcium channel blocker;120-360 mg/day depending on formulation
Verapamil;Verapamil;Cardiovasculaire;Calcium channel blocker;120-480 mg/day
Isosorbide dinitrate;Isosorbide dinitrate;Cardiovasculaire;Nitrate;5-40 mg two or three times daily
Isosorbide mononitrate;Isosorbide mononitrate;Cardiovasculaire;Nitrate;30-120 mg once daily
Clopidogrel + Aspirine (prévention secondaire);Association;Antithrombotique;Double antiagrégation;As per cardiology protocol
Heparine non fractionnée;HNF;Antithrombotique;Anticoagulant IV/SC;Dose per indication, IV infusion or SC
Enoxaparine;Enoxaparine;Antithrombotique;HBPM;40 mg once daily (prophylaxis) or 1 mg/kg twice daily
Dalteparine;Dalteparine;Antithrombotique;HBPM;Dose per weight and indication
Colchicine;Colchicine;Goutte;Antigout;0.5-1 mg once or twice daily
Allopurinol;Allopurinol;Goutte;Uricostatic;100-300 mg once daily
Febuxostat;Febuxostat;Goutte;Xanthine oxidase inhibitor;40-80 mg once daily
Hydroxychloroquine;Hydroxychloroquine;Immunomodulateur;Antimalarial/rheuma;200-400 mg once daily
Sulfasalazine;Sulfasalazine;Immunomodulateur;DMARD;500-2000 mg/day divided
Montelukast;Montelukast;Allergologie;Leukotriene receptor antagonist;10 mg once daily
Ribavirine;Ribavirine;Antiviral;Antiviral;Dose per protocol
Oseltamivir;Oseltamivir;Antiviral;Influenza;75 mg twice daily for 5 days
Valaciclovir;Valaciclovir;Antiviral;Herpes;500-1000 mg 1-3 times daily
Acyclovir;Acyclovir;Antiviral;Herpes;200-800 mg 3-5 times daily
Prednisolone;Prednisolone;Endocrinologie;Corticosteroid;Dose individualized (e.g., 5-60 mg)
Methylprednisolone;Methylprednisolone;Endocrinologie;Corticosteroid;Dose as per indication
Hydrocortisone oral;Hydrocortisone;Endocrinologie;Corticosteroid;20-30 mg/day divided
Bisphosphonate (alendronate);Alendronate;Ostéoporose;Bisphosphonate;70 mg once weekly
Risedronate;Risedronate;Ostéoporose;Bisphosphonate;35 mg once weekly
Denosumab;Denosumab;Ostéoporose;Monoclonal antibody;60 mg subcut every 6 months
Calcitriol;Calcitriol;Endocrinologie;Vitamin D analogue;Dose individualized
Cholecalciferol;Cholecalciferol;Supplement;Vitamin D;800-2000 IU daily typical
Fer ferreux (sulfate ferreux);Sulfate ferreux;Hématologie;Fer oral;50-200 mg elemental iron/day divided
Folic acid;Acide folique;Hématologie;Vitamin;0.4-5 mg daily
Oxazepam;Oxazepam;Anxiolytique;Benzodiazépine;10-30 mg at night or divided
Lorazepam;Lorazepam;Anxiolytique;Benzodiazépine;1-3 mg divided
Diazepam;Diazepam;Anxiolytique;Benzodiazépine;2-10 mg two to four times daily
Clonazepam;Clonazepam;Neurologie;Benzodiazépine;0.5-2 mg/day divided
Zolpidem;Zolpidem;Sommeil;Hypnotique;10 mg at night (short-term)
Zopiclone;Zopiclone;Sommeil;Hypnotique;3.75-7.5 mg at night
Metoclopramide;Metoclopramide;Gastro;Antiemetic;10 mg up to three times daily
Domperidone;Domperidone;Gastro;Antiemetic;10 mg up to three times daily
Lansoprazole;Lansoprazole;Gastro;IPP;15-30 mg once daily
Clarithromycin;Clarithromycine;Antibiotique;Macrolide;250-500 mg twice daily
Phenoxymethylpenicillin (Benzathine?);Phenoxymethylpenicillin;Antibiotique;Pénicilline;Dose as per indication
Erythromycin;Erythromycine;Antibiotique;Macrolide;400-800 mg/day divided
Rifampicine;Rifampicine;Antituberculeux;Antibiotique;600 mg once daily
Isoniazid;Isoniazid;Antituberculeux;Antibiotique;300 mg once daily
Metronidazole;Metronidazole;Divers;Générique;Dose as per indication
Hydroxyzine;Hydroxyzine;Divers;Générique;Dose as per indication
Promethazine;Promethazine;Divers;Générique;Dose as per indication
Gabapentin;Gabapentin;Divers;Générique;Dose as per indication
Pregabalin;Pregabalin;Divers;Générique;Dose as per indication
Topiramate;Topiramate;Divers;Générique;Dose as per indication
Oxcarbazepine;Oxcarbazepine;Divers;Générique;Dose as per indication
Phenobarbital;Phenobarbital;Divers;Générique;Dose as per indication
Sumatriptan;Sumatriptan;Divers;Générique;Dose as per indication
Eletriptan;Eletriptan;Divers;Générique;Dose as per indication
Naloxone;Naloxone;Divers;Générique;Dose as per indication
Buprenorphine;Buprenorphine;Divers;Générique;Dose as per indication
Methadone;Methadone;Divers;Générique;Dose as per indication
Bupropion;Bupropion;Divers;Générique;Dose as per indication
Mirtazapine;Mirtazapine;Divers;Générique;Dose as per indication
Trazodone;Trazodone;Divers;Générique;Dose as per indication
Venlafaxine;Venlafaxine;Divers;Générique;Dose as per indication
Duloxetine;Duloxetine;Divers;Générique;Dose as per indication
Moclobemide;Moclobemide;Divers;Générique;Dose as per indication
Sulpiride;Sulpiride;Divers;Générique;Dose as per indication
Risperidone;Risperidone;Divers;Générique;Dose as per indication
Olanzapine;Olanzapine;Divers;Générique;Dose as per indication
Quetiapine;Quetiapine;Divers;Générique;Dose as per indication
Haloperidol;Haloperidol;Divers;Générique;Dose as per indication
Lithium carbonate;Lithium carbonate;Divers;Générique;Dose as per indication
Donepezil;Donepezil;Divers;Générique;Dose as per indication
Memantine;Memantine;Divers;Générique;Dose as per indication
Rivastigmine;Rivastigmine;Divers;Générique;Dose as per indication
Baclofen;Baclofen;Divers;Générique;Dose as per indication
Tizanidine;Tizanidine;Divers;Générique;Dose as per indication
Cyclobenzaprine;Cyclobenzaprine;Divers;Générique;Dose as per indication
Dantrolene;Dantrolene;Divers;Générique;Dose as per indication
Benztropine;Benztropine;Divers;Générique;Dose as per indication
Trihexyphenidyl;Trihexyphenidyl;Divers;Générique;Dose as per indication
Levodopa/carbidopa;Levodopa/carbidopa;Divers;Générique;Dose as per indication
Carbidopa/Levodopa;Carbidopa/Levodopa;Divers;Générique;Dose as per indication
Entacapone;Entacapone;Divers;Générique;Dose as per indication
Tolcapone;Tolcapone;Divers;Générique;Dose as per indication
Selegiline;Selegiline;Divers;Générique;Dose as per indication
Rasagiline;Rasagiline;Divers;Générique;Dose as per indication
Nitrofurantoin;Nitrofurantoin;Divers;Générique;Dose as per indication
Phenazopyridine;Phenazopyridine;Divers;Générique;Dose as per indication
Sulfamethoxazole;Sulfamethoxazole;Divers;Générique;Dose as per indication
Metamizole;Metamizole;Divers;Générique;Dose as per indication
Dipyrone;Dipyrone;Divers;Générique;Dose as per indication
Hydromorphone;Hydromorphone;Divers;Générique;Dose as per indication
Oxycodone;Oxycodone;Divers;Générique;Dose as per indication
Fentanyl patch;Fentanyl patch;Divers;Générique;Dose as per indication
Buprenorphine patch;Buprenorphine patch;Divers;Générique;Dose as per indication
Codeine phosphate;Codeine phosphate;Divers;Générique;Dose as per indication
Dextromethorphan;Dextromethorphan;Divers;Générique;Dose as per indication
Guaifenesin;Guaifenesin;Divers;Générique;Dose as per indication
Doxazosin;Doxazosin;Divers;Générique;Dose as per indication
Prazosin;Prazosin;Divers;Générique;Dose as per indication
Terazosin;Terazosin;Divers;Générique;Dose as per indication
Tolvaptan;Tolvaptan;Divers;Générique;Dose as per indication
Conivaptan;Conivaptan;Divers;Générique;Dose as per indication
Desmopressin;Desmopressin;Divers;Générique;Dose as per indication
Oxytocin;Oxytocin;Divers;Générique;Dose as per indication
Misoprostol;Misoprostol;Divers;Générique;Dose as per indication
Mifepristone;Mifepristone;Divers;Générique;Dose as per indication
Acyclovir topical;Acyclovir topical;Divers;Générique/Spécialité;Dose as per indication
Aliskiren;Aliskiren;Divers;Générique/Spécialité;Dose as per indication
Amiloride;Amiloride;Divers;Générique/Spécialité;Dose as per indication
Benazepril;Benazepril;Divers;Générique/Spécialité;Dose as per indication
Captopril;Captopril;Divers;Générique/Spécialité;Dose as per indication
Cilazapril;Cilazapril;Divers;Générique/Spécialité;Dose as per indication
Lercanidipine;Lercanidipine;Divers;Générique/Spécialité;Dose as per indication
Felodipine;Felodipine;Divers;Générique/Spécialité;Dose as per indication
Nicardipine;Nicardipine;Divers;Générique/Spécialité;Dose as per indication
Clevidipine;Clevidipine;Divers;Générique/Spécialité;Dose as per indication
Verapamil SR;Verapamil SR;Divers;Générique/Spécialité;Dose as per indication
Isradipine;Isradipine;Divers;Générique/Spécialité;Dose as per indication
Perindopril;Perindopril;Divers;Générique/Spécialité;Dose as per indication
Trandolapril;Trandolapril;Divers;Générique/Spécialité;Dose as per indication
Molsidomine;Molsidomine;Divers;Générique/Spécialité;Dose as per indication
Ivabradine;Ivabradine;Divers;Générique/Spécialité;Dose as per indication
Carvedilol;Carvedilol;Divers;Générique/Spécialité;Dose as per indication
Sotalol;Sotalol;Divers;Générique/Spécialité;Dose as per indication
Acebutolol;Acebutolol;Divers;Générique/Spécialité;Dose as per indication
Pindolol;Pindolol;Divers;Générique/Spécialité;Dose as per indication
Ranolazine;Ranolazine;Divers;Générique/Spécialité;Dose as per indication
Dapagliflozin;Dapagliflozin;Divers;Générique/Spécialité;Dose as per indication
Canagliflozin;Canagliflozin;Divers;Générique/Spécialité;Dose as per indication
Empagliflozin;Empagliflozin;Divers;Générique/Spécialité;Dose as per indication
Ipragliflozin;Ipragliflozin;Divers;Générique/Spécialité;Dose as per indication
Ertugliflozin;Ertugliflozin;Divers;Générique/Spécialité;Dose as per indication
Pioglitazone;Pioglitazone;Divers;Générique/Spécialité;Dose as per indication
Rosiglitazone;Rosiglitazone;Divers;Générique/Spécialité;Dose as per indication
Miglitol;Miglitol;Divers;Générique/Spécialité;Dose as per indication
Voglibose;Voglibose;Divers;Générique/Spécialité;Dose as per indication
Insuline lente (NPH);Insuline lente (NPH);Divers;Générique/Spécialité;Dose as per indication
Insuline mixte 30/70;Insuline mixte 30/70;Divers;Générique/Spécialité;Dose as per indication
Insuline inhalée;Insuline inhalée;Divers;Générique/Spécialité;Dose as per indication
Pramlintide;Pramlintide;Divers;Générique/Spécialité;Dose as per indication
Glucagon;Glucagon;Divers;Générique/Spécialité;Dose as per indication
Saxagliptine/metformin combo;Saxagliptine/metformin combo;Divers;Générique/Spécialité;Dose as per indication
Linagliptine;Linagliptine;Divers;Générique/Spécialité;Dose as per indication
Alogliptine;Alogliptine;Divers;Générique/Spécialité;Dose as per indication
Bromocriptine;Bromocriptine;Divers;Générique/Spécialité;Dose as per indication
Cabergoline;Cabergoline;Divers;Générique/Spécialité;Dose as per indication
Dulaglutide;Dulaglutide;Divers;Générique/Spécialité;Dose as per indication
Semaglutide;Semaglutide;Divers;Générique/Spécialité;Dose as per indication
Albiglutide;Albiglutide;Divers;Générique/Spécialité;Dose as per indication
Exenatide LAR;Exenatide LAR;Divers;Générique/Spécialité;Dose as per indication
SGLT2 inhibitor unspecified;SGLT2 inhibitor unspecified;Divers;Générique/Spécialité;Dose as per indication
Benzbromarone;Benzbromarone;Divers;Générique/Spécialité;Dose as per indication
Pegloticase;Pegloticase;Divers;Générique/Spécialité;Dose as per indication
Sevelamer;Sevelamer;Divers;Générique/Spécialité;Dose as per indication
Lanreotide;Lanreotide;Divers;Générique/Spécialité;Dose as per indication
Octreotide;Octreotide;Divers;Générique/Spécialité;Dose as per indication
Pasireotide;Pasireotide;Divers;Générique/Spécialité;Dose as per indication
Sodium polystyrene sulfonate;Sodium polystyrene sulfonate;Divers;Générique/Spécialité;Dose as per indication
Erythropoietin;Erythropoietin;Divers;Générique/Spécialité;Dose as per indication
Darbepoetin;Darbepoetin;Divers;Générique/Spécialité;Dose as per indication
Iron sucrose IV;Iron sucrose IV;Divers;Générique/Spécialité;Dose as per indication
Ferric carboxymaltose;Ferric carboxymaltose;Divers;Générique/Spécialité;Dose as per indication
Eltrombopag;Eltrombopag;Divers;Générique/Spécialité;Dose as per indication
Romiplostim;Romiplostim;Divers;Générique/Spécialité;Dose as per indication
Voriconazole;Voriconazole;Divers;Générique/Spécialité;Dose as per indication
Fluconazole;Fluconazole;Divers;Générique/Spécialité;Dose as per indication
Itraconazole;Itraconazole;Divers;Générique/Spécialité;Dose as per indication
Posaconazole;Posaconazole;Divers;Générique/Spécialité;Dose as per indication
Griseofulvine;Griseofulvine;Divers;Générique/Spécialité;Dose as per indication
Terbinafine;Terbinafine;Divers;Générique/Spécialité;Dose as per indication
Clotrimazole;Clotrimazole;Divers;Générique/Spécialité;Dose as per indication
Miconazole;Miconazole;Divers;Générique/Spécialité;Dose as per indication
Ketoconazole topical;Ketoconazole topical;Divers;Générique/Spécialité;Dose as per indication
Nystatin;Nystatin;Divers;Générique/Spécialité;Dose as per indication
Amphotericin B;Amphotericin B;Divers;Générique/Spécialité;Dose as per indication
Foscarnet;Foscarnet;Divers;Générique/Spécialité;Dose as per indication
Cidofovir;Cidofovir;Divers;Générique/Spécialité;Dose as per indication
Valganciclovir;Valganciclovir;Divers;Générique/Spécialité;Dose as per indication
Ganciclovir;Ganciclovir;Divers;Générique/Spécialité;Dose as per indication
Palivizumab;Palivizumab;Divers;Générique/Spécialité;Dose as per indication
Ritonavir;Ritonavir;Divers;Générique/Spécialité;Dose as per indication
Lopinavir/ritonavir;Lopinavir/ritonavir;Divers;Générique/Spécialité;Dose as per indication
Darunavir;Darunavir;Divers;Générique/Spécialité;Dose as per indication
Atazanavir;Atazanavir;Divers;Générique/Spécialité;Dose as per indication
Dolutegravir;Dolutegravir;Divers;Générique/Spécialité;Dose as per indication
Raltegravir;Raltegravir;Divers;Générique/Spécialité;Dose as per indication
Elvitegravir;Elvitegravir;Divers;Générique/Spécialité;Dose as per indication
Bictegravir;Bictegravir;Divers;Générique/Spécialité;Dose as per indication
Tenofovir disoproxil;Tenofovir disoproxil;Divers;Générique/Spécialité;Dose as per indication
Tenofovir alafenamide;Tenofovir alafenamide;Divers;Générique/Spécialité;Dose as per indication
Lamivudine;Lamivudine;Divers;Générique/Spécialité;Dose as per indication
Emtricitabine;Emtricitabine;Divers;Générique/Spécialité;Dose as per indication
Zidovudine;Zidovudine;Divers;Générique/Spécialité;Dose as per indication
Didanosine;Didanosine;Divers;Générique/Spécialité;Dose as per indication
Stavudine;Stavudine;Divers;Générique/Spécialité;Dose as per indication
Efavirenz;Efavirenz;Divers;Générique/Spécialité;Dose as per indication
Nevirapine;Nevirapine;Divers;Générique/Spécialité;Dose as per indication
Etravirine;Etravirine;Divers;Générique/Spécialité;Dose as per indication
Maraviroc;Maraviroc;Divers;Générique/Spécialité;Dose as per indication
Ibalizumab;Ibalizumab;Divers;Générique/Spécialité;Dose as per indication
Cabotegravir;Cabotegravir;Divers;Générique/Spécialité;Dose as per indication
Ivermectin;Ivermectin;Divers;Générique/Spécialité;Dose as per indication
Albendazole;Albendazole;Divers;Générique/Spécialité;Dose as per indication
Mebendazole;Mebendazole;Divers;Générique/Spécialité;Dose as per indication
Praziquantel;Praziquantel;Divers;Générique/Spécialité;Dose as per indication
Pyrantel pamoate;Pyrantel pamoate;Divers;Générique/Spécialité;Dose as per indication
Permethrin;Permethrin;Divers;Générique/Spécialité;Dose as per indication
Lindane;Lindane;Divers;Générique/Spécialité;Dose as per indication
Malathion;Malathion;Divers;Générique/Spécialité;Dose as per indication
Niclosamide;Niclosamide;Divers;Générique/Spécialité;Dose as per indication
Levocetirizine;Levocetirizine;Divers;Générique/Spécialité;Dose as per indication
Rupatadine;Rupatadine;Divers;Générique/Spécialité;Dose as per indication
Desloratadine;Desloratadine;Divers;Générique/Spécialité;Dose as per indication
Bilastine;Bilastine;Divers;Générique/Spécialité;Dose as per indication
